Species,latitude,longitude
Asclepias syriaca,47.14267,-91.46884
Asclepias syriaca,43.14785,-88.87694
Asclepias syriaca,43.84755,-72.29691
Asclepias syriaca,43.78646,-74.84302
Asclepias syriaca,37.06615,-80.44322
Asclepias syriaca,41.5207,-87.87177
Asclepias syriaca,45.99106,-81.41533
Asclepias syriaca,42.47967,-76.45003
Asclepias syriaca,45.12365,-92.8344
Asclepias syriaca,42.4797,-76.45011
Asclepias syriaca,43.53503,-72.71909
Asclepias syriaca,42.9408,-73.22646
Asclepias syriaca,44.59436,-79.49243
Asclepias syriaca,43.82377,-72.24906
Asclepias syriaca,39.01972,-77.4065
Asclepias syriaca,38.94124,-76.99271
Asclepias syriaca,44.41866,-72.02739
Asclepias syriaca,41.15928,-73.16549
Asclepias syriaca,45.49723,-87.79666
Asclepias syriaca,39.46969,-76.99931
Asclepias syriaca,43.82455,-72.19025
Asclepias syriaca,40.73258,-77.75411
Asclepias syriaca,44.34772,-72.99341
Asclepias syriaca,41.53851,-81.6409
Asclepias syriaca,43.1414,-88.88697
Asclepias syriaca,43.78494,-72.60984
Asclepias syriaca,41.96289,-87.63271
Asclepias syriaca,42.32986,-84.08067
Asclepias syriaca,42.30755,-84.41136
Asclepias syriaca,39.48471,-77.80678
Asclepias syriaca,44.51111,-73.26855
Asclepias syriaca,41.29212,-81.57252
Asclepias syriaca,38.93385,-77.30782
Asclepias syriaca,41.9553,-87.64461
Asclepias syriaca,43.63438,-72.5378
Asclepias syriaca,40.75691,-89.23341
Asclepias syriaca,45.77963,-89.52248
Asclepias syriaca,42.52373,-84.74583
Asclepias syriaca,43.12666,-89.43972
Asclepias syriaca,45.66463,-89.21655
Asclepias syriaca,41.52178,-72.82941
Asclepias syriaca,41.61723,-87.26105
Asclepias syriaca,41.61818,-87.25964
Asclepias syriaca,38.84967,-79.42178
Asclepias syriaca,43.4554,-72.4227
Asclepias syriaca,44.28492,-72.57492
Asclepias syriaca,41.40509,-72.9111
Asclepias syriaca,44.18129,-73.35956
Asclepias syriaca,44.34085,-72.46152
Asclepias syriaca,42.64084,-71.10625
Asclepias syriaca,42.64534,-71.09208
Asclepias syriaca,39.00056,-76.88775
Asclepias syriaca,45.50428,-75.49341
Asclepias syriaca,43.70149,-72.54204
Asclepias syriaca,43.62427,-72.50473
Asclepias syriaca,43.70173,-72.54176
Asclepias syriaca,36.90048,-80.26047
Asclepias syriaca,44.52069,-73.2636
Asclepias syriaca,41.72459,-88.28844
Asclepias syriaca,38.94943,-77.38841
Asclepias syriaca,41.47616,-72.92214
Asclepias syriaca,43.07969,-89.53338
Asclepias syriaca,41.55537,-75.01906
Asclepias syriaca,42.93121,-88.46246
Asclepias syriaca,41.29913,-81.51141
Asclepias syriaca,39.65983,-86.898
Asclepias syriaca,43.32448,-77.7415
Asclepias syriaca,37.80368,-97.64642
Asclepias syriaca,42.48735,-88.33086
Asclepias syriaca,42.76421,-71.86037
Asclepias syriaca,42.21211,-71.11329
Asclepias syriaca,47.06714,-91.59333
Asclepias syriaca,42.2597,-83.06994
Asclepias syriaca,40.05781,-83.79614
Asclepias syriaca,42.3923,-71.27757
Asclepias syriaca,39.4251,-80.7033
Asclepias syriaca,43.03736,-88.98202
Asclepias syriaca,42.98286,-88.98091
Asclepias syriaca,42.99075,-89.06128
