Species,latitude,longitude
Asclepias speciosa,39.93930212,-123.1017334
Asclepias speciosa,41.73210706,-122.64195
Asclepias speciosa,41.73210706,-122.64195
Asclepias speciosa,39.1597,-122.6647
Asclepias speciosa,37.5,-118.25
Asclepias speciosa,37.7264,-119.6116
Asclepias speciosa,39.76171039,-121.3320797
Asclepias speciosa,39.1597,-122.6647
Asclepias speciosa,38.16667,-120.46667
Asclepias speciosa,41.59083,-122.43833
Asclepias speciosa,38.77306,-120.44972
Asclepias speciosa,40.6435,-121.469
Asclepias speciosa,39.34486613,-122.7540369
Asclepias speciosa,37.49167,-118.38333
Asclepias speciosa,37.33361,-118.395
Asclepias speciosa,39.77222,-121.77833
Asclepias speciosa,40.77315754,-123.1284065
Asclepias speciosa,41.29889,-123.13722
Asclepias speciosa,38.59778,-120.65361
Asclepias speciosa,41.3315,-122.3362
Asclepias speciosa,37.48416,-118.38333
Asclepias speciosa,38.68870694,-120.5848877
Asclepias speciosa,40.14306,-121.13778
Asclepias speciosa,39.32614718,-120.2653486
Asclepias speciosa,39.35306,-120.18222
Asclepias speciosa,37.7264,-119.6116
Asclepias speciosa,40.39139,-123.27889
Asclepias speciosa,37.267185,-118.2678756
Asclepias speciosa,41.3575,-122.6425
Asclepias speciosa,39.50861,-120.54722
Asclepias speciosa,37.30221879,-118.9880729
Asclepias speciosa,38.16861,-120.46889
Asclepias speciosa,40.03889,-120.97861
Asclepias speciosa,41.80235838,-123.4973613
Asclepias speciosa,40.08730244,-121.5890904
Asclepias speciosa,38.6908831,-119.8084294
Asclepias speciosa,41.43556,-121.03667
Asclepias speciosa,37.96076476,-120.2360102
Asclepias speciosa,41.9101153,-122.5544707
Asclepias speciosa,41.18972,-120.05056
Asclepias speciosa,41.43556,-121.03667
Asclepias speciosa,39.81028,-121.72333
Asclepias speciosa,40.14306,-121.13778
Asclepias speciosa,39.1597,-122.6647
Asclepias speciosa,39.76171039,-121.3320797
Asclepias speciosa,37.81194,-119.945
Asclepias speciosa,38.50833,-121.62538
Asclepias speciosa,41.42583,-122.51667
Asclepias speciosa,39.3005,-120.6723
Asclepias speciosa,41.5,-122.56667
Asclepias speciosa,40.71617,-123.69603
Asclepias speciosa,41.076,-122.939
Asclepias speciosa,39.20467,-121.06
Asclepias speciosa,41.5,-122.56667
Asclepias speciosa,38.33003302,-121.9665749
Asclepias speciosa,39.30675413,-120.6843582
Asclepias speciosa,37.32704802,-119.0170139
